how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
25-34,Computing or Tech,Senior Technical Program Manager Lead,138000,15000.0,Washington,Bellevue,8 - 10 years,5-7 years,College degree
35-44,Insurance,Underwriter,104000,20000.0,New Jersey,Jersey City,11 - 20 years,11 - 20 years,Master's degree
18-24,Nonprofits,Development Ticketing,40000,,Texas,Houston,2 - 4 years,1 year or less,College degree
25-34,Biotech,Senior Scientist,144000,15000.0,California,South San Francisco,11 - 20 years,5-7 years,PhD
45-54,Entertainment,Senior Editor,97000,5000.0,New York,New York,21 - 30 years,21 - 30 years,College degree
25-34,Nonprofits,Finance & HR Manager,63000,500.0,District of Columbia,Remotely in NC for DC employer,8 - 10 years,5-7 years,College degree
35-44,Medical Research,Research Associate I,45000,0.0,Ohio,Columbus,8 - 10 years,8 - 10 years,College degree
25-34,Education (Primary/Secondary),Paraprofessional,20000,0.0,Massachusetts,Agawam,5-7 years,5-7 years,College degree
45-54,Media & Digital,Senior Editor,65000,0.0,New Jersey,Greater Philadelphia,21 - 30 years,21 - 30 years,College degree
35-44,Computing or Tech,Senior Developer,212000,0.0,New York,new york,11 - 20 years,11 - 20 years,College degree
25-34,"Accounting, Banking & Finance",Credit Department Manager,76000,5000.0,Indiana,Lafayette,8 - 10 years,5-7 years,College degree
25-34,Workforce development,Operations Supervisor,52000,0.0,Tennessee,Memphis,2 - 4 years,1 year or less,Master's degree
35-44,Education (Primary/Secondary),Special Education Teacher,48000,,Arizona,Tucson,11 - 20 years,11 - 20 years,College degree
25-34,Education (Higher Education),Assistant Director-Residence Life,33000,,Maryland,Frederick,8 - 10 years,8 - 10 years,Master's degree
25-34,Health care,Executive director home health,95000,16000.0,Texas,Dallas,8 - 10 years,5-7 years,College degree
25-34,Art & Design,Industrial Designer,85000,0.0,New York,NYC,8 - 10 years,8 - 10 years,College degree
35-44,"Accounting, Banking & Finance",Marketing,62000,2000.0,Minnesota,St. Cloud,11 - 20 years,2 - 4 years,College degree
35-44,Hospitality & Events,Human Resources Director,82000,,California,San Jose,11 - 20 years,11 - 20 years,Some college
55-64,Media & Digital,Editor,50000,0.0,Maine,Portland area,21 - 30 years,21 - 30 years,Master's degree
35-44,Nonprofits,Librarian,65000,,Illinois,Barrington,11 - 20 years,11 - 20 years,Master's degree
35-44,Sales,Sales Operations Business Process Manager,96000,15000.0,Washington,Vancouver,11 - 20 years,11 - 20 years,College degree
25-34,Education (Higher Education),Admissions Specialist,40000,,California,Los angeles,11 - 20 years,8 - 10 years,College degree
45-54,Architecture & Construction,Project Manager,75000,500.0,Colorado,Denver,21 - 30 years,21 - 30 years,Master's degree
25-34,Media & Digital,assistant managing editor,83000,,District of Columbia,DC,11 - 20 years,11 - 20 years,College degree
35-44,Libraries,Library Director,55000,0.0,Massachusetts,Sheffield,21 - 30 years,8 - 10 years,Master's degree
25-34,Health care,Pharmacy tech,32000,0.0,California,San Diego,11 - 20 years,8 - 10 years,Some college
25-34,Libraries,Public Services Supervisor,64341,0.0,Virginia,Richmond,8 - 10 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Product manager,184000,130000.0,California,San Francisco,11 - 20 years,8 - 10 years,College degree
35-44,Insurance,Program Manager,85000,7000.0,Utah,Salt Lake City,11 - 20 years,11 - 20 years,Some college
55-64,Law,Assistant General Counsel,280000,200000.0,California,San Francisco,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)"
25-34,Health care,HR & Administrative Assistant,41000,250.0,Oregon,Portland,11 - 20 years,5-7 years,College degree
18-24,Media & Digital,Reporter,41000,100.0,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,"Senior Associate, Consulting Services",75000,7500.0,New York,New York City,5-7 years,2 - 4 years,Master's degree
25-34,Protective coatings,Manager,56000,0.0,California,Simi Valley,11 - 20 years,5-7 years,Some college
35-44,Retail,Internal communications specialist,75000,10000.0,North Carolina,Charlotte,11 - 20 years,11 - 20 years,College degree
35-44,Health care,Project Manager II,126000,3000.0,California,"Remote, company is based in Raleigh NC",11 - 20 years,11 - 20 years,Master's degree
25-34,Law,Training coordinator,38000,0.0,Louisiana,New Orleans,8 - 10 years,8 - 10 years,College degree
35-44,Engineering or Manufacturing,HR Manager,82000,14000.0,Florida,Tampa,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Senior Infrastructure Engineer,210000,0.0,Oregon,Portland (Remote),11 - 20 years,11 - 20 years,College degree
25-34,Government and Public Administration,Office Assistant,30000,,Alaska,Anchorage,5-7 years,5-7 years,Master's degree
35-44,Health care,Clinical Psychologist,90000,0.0,Michigan,Ann Arbor,8 - 10 years,8 - 10 years,PhD
25-34,"Accounting, Banking & Finance",People Operations Manager,95000,25000.0,New York,New York,11 - 20 years,2 - 4 years,College degree
25-34,Nonprofits,Volunteer and Giving Coordinator,39000,,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,Marketing and Communications Manager,60000,,California,San Diego,5-7 years,5-7 years,Master's degree
45-54,Nonprofits,Interim Executive Director,120000,,Illinois,Chicago,21 - 30 years,11 - 20 years,Master's degree
35-44,"Marketing, Advertising & PR",Project Manager,72100,1500.0,Colorado,Denver,11 - 20 years,5-7 years,College degree
35-44,Government and Public Administration,Adult Services Librarian,30000,,Iowa,N/a,11 - 20 years,5-7 years,PhD
35-44,Nonprofits,Technical Support Engineer,63000,,Washington,Seattle,21 - 30 years,11 - 20 years,Master's degree
45-54,Utilities & Telecommunications,Human Resources Manager,132000,,Washington,Everett,21 - 30 years,21 - 30 years,Master's degree
25-34,Fashion,Data Scientist,115000,0.0,New York,New York City,5-7 years,2 - 4 years,College degree
55-64,Education (Higher Education),Professor of Law,165000,7000.0,District of Columbia,District of Columbia,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Recruitment or HR,"Director, Human Resources",130000,13000.0,Vermont,Burlington,11 - 20 years,8 - 10 years,Master's degree
35-44,Education (Higher Education),Reference and Research Librarian,47000,0.0,South Carolina,Spartanburg,8 - 10 years,5-7 years,Master's degree
25-34,"Accounting, Banking & Finance",Manager,83000,0.0,Minnesota,,5-7 years,2 - 4 years,College degree
25-34,Computing or Tech,Computer programmer,170000,0.0,New York,New York City,11 - 20 years,11 - 20 years,College degree
35-44,Computing or Tech,Sr B2C Solutions Consultant,125000,4500.0,Colorado,Denver,11 - 20 years,2 - 4 years,Master's degree
25-34,Computing or Tech,IT Specialist,41600,2600.0,Florida,"Fort Walton Beach, FL",11 - 20 years,5-7 years,College degree
18-24,"Marketing, Advertising & PR",Director of Happenings,35500,0.0,Illinois,Batavia,2 - 4 years,2 - 4 years,Some college
25-34,Computing or Tech,Customer Support Supervisor,71500,,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Financial Systems Analyst,115000,0.0,California,Irvine,8 - 10 years,5-7 years,College degree
25-34,Computing or Tech,software engineer,95680,,California,Redlands,2 - 4 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",Client Services Manager,85000,0.0,California,Anaheim,5-7 years,5-7 years,College degree
25-34,Nonprofits,Program Manager,54000,0.0,Texas,Austin,8 - 10 years,8 - 10 years,Master's degree
45-54,Media & Digital,QA Engineer,135200,,California,"Glendale, but I'm full time remote.",21 - 30 years,21 - 30 years,College degree
35-44,Health care,Nurse Consultant,112500,3000.0,Minnesota,Many,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Engineering Manager,193000,,California,Remote,8 - 10 years,8 - 10 years,Master's degree
35-44,Computing or Tech,Software Engineer,95000,,Maryland,Baltimore,8 - 10 years,2 - 4 years,PhD
25-34,Computing or Tech,Senior Software Engineer,95000,,Missouri,Kansas City,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Tools and Automation Engineer,166560,23000.0,Tennessee,nashville,11 - 20 years,11 - 20 years,College degree
25-34,Nonprofits,Chief of Staff,106000,5000.0,New York,NYC,11 - 20 years,11 - 20 years,Master's degree
35-44,Engineering or Manufacturing,Structural engineer,77500,8000.0,Wisconsin,Milwaukee,11 - 20 years,8 - 10 years,College degree
25-34,Computing or Tech,Project manager,105000,15000.0,Texas,Dallas,8 - 10 years,5-7 years,Master's degree
65 or over,Nonprofits,lead editor and translator,103000,500.0,District of Columbia,washington,21 - 30 years,21 - 30 years,Some college
35-44,Computing or Tech,Lead Engineer,200000,0.0,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,PhD
18-24,Nonprofits,Senior Research Assistant,49500,,Maryland,Bethesda,5-7 years,2 - 4 years,College degree
35-44,Biotech,"Manager of cGMP Manufacturing, QA, and QC",110000,2500.0,Maryland,Rockville,11 - 20 years,11 - 20 years,College degree
45-54,Law,government attorney,85000,0.0,Ohio,Columbus,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
35-44,Nonprofits,CEO,90000,0.0,New York,New York City,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,Product designer III,55000,,Florida,Fort Lauderdale,8 - 10 years,8 - 10 years,College degree
35-44,Law,Senior attorney,72000,,Ohio,Toledo,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,"Senior Director, Data Engineering",220000,0.0,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,Master's degree
35-44,Compliance,Senior Complisnce Specialist,83000,,Ohio,Cincinnati,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Education (Higher Education),Sr. Executive Assistant,65000,,Pennsylvania,PIttsburgh,11 - 20 years,11 - 20 years,High School
35-44,Health care,Psychologist,93000,3000.0,Delaware,Wilmington,2 - 4 years,2 - 4 years,PhD
35-44,Transport or Logistics,Collections Manager,59000,3500.0,Tennessee,Moshiem,11 - 20 years,11 - 20 years,College degree
25-34,Government and Public Administration,Youth Services Librarian,49600,,Texas,DFW area,8 - 10 years,2 - 4 years,Master's degree
55-64,Sales,Staff Accountant,40000,500.0,Washington,Aberdeen,41 years or more,31 - 40 years,College degree
25-34,"Accounting, Banking & Finance",CPA,54000,,Wisconsin,La Crosse,5-7 years,2 - 4 years,College degree
35-44,Law,Paralegal,65000,,California,Orange County Area,11 - 20 years,1 year or less,College degree
25-34,Nonprofits,Fundraising consultant,166000,0.0,Louisiana,New Orleans,11 - 20 years,2 - 4 years,Master's degree
35-44,Health care,Practice Administrator,62400,12000.0,Washington,Seattle,11 - 20 years,5-7 years,College degree
25-34,Computing or Tech,Lead Project Manager,100000,,Oregon,Portland,11 - 20 years,5-7 years,College degree
35-44,Engineering or Manufacturing,Assistant Customer Service Manager,40000,14000.0,California,Riverside,11 - 20 years,11 - 20 years,Some college
25-34,Nonprofits,"Director Communications, Marketing, and PR",138000,10000.0,District of Columbia,Washington,8 - 10 years,5-7 years,Master's degree
25-34,Health care,Clinical Research Manager,82000,0.0,Massachusetts,Boston,5-7 years,2 - 4 years,Master's degree
35-44,"Marketing, Advertising & PR","Senior Director, Marketing",145000,0.0,North Carolina,Durham,21 - 30 years,11 - 20 years,College degree
35-44,Computing or Tech,Junior Developer,43000,1500.0,Nebraska,Lincoln,11 - 20 years,2 - 4 years,College degree
25-34,Health care,Office Manager,52000,,Washington,Seattle,2 - 4 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",Freelance content writer,60000,0.0,New York,Beacon,8 - 10 years,5-7 years,College degree
25-34,Engineering or Manufacturing,Senior Marketing Coordinator,87000,4000.0,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree
18-24,Entertainment data,Research Coordinator,52000,0.0,California,Los Angeles,1 year or less,1 year or less,College degree
35-44,Pharmaceuticals,Auditor,119000,12000.0,Pennsylvania,Philadelphia suburbs,11 - 20 years,11 - 20 years,College degree
25-34,Art & Design,Curator,49000,0.0,Washington,Seattle,8 - 10 years,8 - 10 years,Master's degree
45-54,Health care,Nurse Practitioner,120000,0.0,Colorado,"Denver, CO",21 - 30 years,8 - 10 years,Master's degree
25-34,"Marketing, Advertising & PR",Senior Marketing Campaign Manager,92000,9200.0,Utah,American Fork,8 - 10 years,8 - 10 years,Master's degree
45-54,Government and Public Administration,Application Development Manager,90000,,Georgia,Atlanta,21 - 30 years,11 - 20 years,Master's degree
35-44,Government and Public Administration,Environmental specialist,56000,0.0,Ohio,Dayton,11 - 20 years,5-7 years,College degree
35-44,"Accounting, Banking & Finance",VP Finance,125000,25000.0,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree
35-44,Nonprofits,Outreach professional,36000,,Vermont,prefer not to answer,21 - 30 years,11 - 20 years,Master's degree
45-54,"Accounting, Banking & Finance",Project Manager,82500,5000.0,Delaware,Wilmington,21 - 30 years,11 - 20 years,College degree
25-34,Business or Consulting,Associate,63000,5000.0,New York,NYC,2 - 4 years,2 - 4 years,College degree
35-44,Computing or Tech,Software engineer,205000,100000.0,Oregon,Portland,11 - 20 years,11 - 20 years,College degree
45-54,Health care,Consumer directed care attendant,18500,0.0,Iowa,Mason city,2 - 4 years,2 - 4 years,College degree
25-34,Publishing,Editor,68900,500.0,New York,New York City,8 - 10 years,8 - 10 years,College degree
25-34,"Accounting, Banking & Finance",Business Analyst,67000,0.0,Kentucky,Louisville,5-7 years,5-7 years,College degree
25-34,Insurance,Devops Architect,161000,21000.0,Wisconsin,Milwaukee,8 - 10 years,8 - 10 years,Master's degree
25-34,Engineering or Manufacturing,Quality Technician 2,50835,7000.0,California,Pomona,2 - 4 years,2 - 4 years,College degree
45-54,Education (Higher Education),Executive Director of Human Resources,110000,0.0,Oklahoma,Tulsa,21 - 30 years,21 - 30 years,College degree
25-34,Insurance,Supervisor,55500,18000.0,Michigan,Lansing,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Senior UX Designer,91000,10000.0,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree
25-34,Nonprofits,Development Director,75000,3000.0,Maryland,Annapolis,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,HR Project Associate,60500,2500.0,Washington,Seattle,5-7 years,5-7 years,College degree
35-44,"Marketing, Advertising & PR",Marketing strategist,67500,,California,Escondido,5-7 years,5-7 years,College degree
25-34,Health care,Human Resources Generalist,54600,,Hawaii,Honolulu,11 - 20 years,8 - 10 years,College degree
35-44,Education (Higher Education),"Faculty Librarian, unit director",79600,,Nebraska,Omaha,11 - 20 years,8 - 10 years,Master's degree
35-44,Utilities & Telecommunications,Network Technical Specialist,98000,20000.0,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree
45-54,Computing or Tech,Human Resources Business Partner,99364,6000.0,Massachusetts,Boston,21 - 30 years,21 - 30 years,College degree
45-54,Government and Public Administration,manager,119500,,Michigan,Ann Arbor,21 - 30 years,21 - 30 years,Master's degree
35-44,"Marketing, Advertising & PR",Marketing Manager,155000,23000.0,Connecticut,Stamford,11 - 20 years,8 - 10 years,College degree
25-34,"Marketing, Advertising & PR",SEO Coordinator,45000,,Alabama,Birmingham,5-7 years,2 - 4 years,Master's degree
25-34,Education (Higher Education),Visiting assistant professor,62000,,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,PhD
25-34,Business or Consulting,Program Manager,75000,2000.0,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree
25-34,Transport or Logistics,North American Service Quality Manager,91000,10920.0,Texas,Dallas,8 - 10 years,5-7 years,College degree
35-44,Education (Higher Education),Associate Professor,150000,0.0,Maryland,Annapolis,8 - 10 years,5-7 years,PhD
25-34,Law,Attorney,114000,9000.0,District of Columbia,DC,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
35-44,Engineering or Manufacturing,Senior Manufacturing Engineer,103500,15000.0,Texas,Austin,11 - 20 years,11 - 20 years,College degree
25-34,Fitness & Entertainment,Pilates teacher & classical singer,75000,0.0,New York,New York,21 - 30 years,21 - 30 years,PhD
25-34,Health care,Contracting manager,68000,68000.0,Nevada,Henderson,8 - 10 years,5-7 years,Master's degree
25-34,"Accounting, Banking & Finance",Payroll,57000,2000.0,Colorado,Mead,8 - 10 years,2 - 4 years,College degree
35-44,Computing or Tech,Senior System Analyst,62364,,Arkansas,Little Rock,11 - 20 years,2 - 4 years,College degree
45-54,Engineering or Manufacturing,Quality Engineer,72000,0.0,Washington,Everett,8 - 10 years,5-7 years,Master's degree
35-44,Computing or Tech,Senior Engineering Manager,270000,900000.0,Washington,Seattle,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
25-34,Health care,Communication Specialist,60000,0.0,Tennessee,Nashville,8 - 10 years,5-7 years,Master's degree
35-44,Education (Higher Education),Lecturer,58000,0.0,New Jersey,Glassboro,11 - 20 years,11 - 20 years,PhD
25-34,Media & Digital,Senior Site Reliability Engineer,150000,25000.0,Michigan,Detroit,5-7 years,2 - 4 years,Some college
45-54,Retail,Regional,100,,New York,New york,21 - 30 years,21 - 30 years,Some college
35-44,Engineering or Manufacturing,Traffic Engineer,86000,1000.0,New Hampshire,Bedford,11 - 20 years,11 - 20 years,Master's degree
45-54,Business or Consulting,Senior Consultant,105000,0.0,Washington,Chehalis,11 - 20 years,5-7 years,College degree
35-44,"Accounting, Banking & Finance",Lead (senior) analyst,107000,6000.0,Pennsylvania,Pittsburgh area,11 - 20 years,11 - 20 years,College degree
25-34,Business or Consulting,Membership Director,120000,133000.0,Colorado,Denver,8 - 10 years,5-7 years,
45-54,Nonprofits,sr director,80000,0.0,Kentucky,Louisville,21 - 30 years,11 - 20 years,Master's degree
25-34,Law Enforcement & Security,Nuclear Security Programs Lead,76500,10000.0,Illinois,Chicagoland,8 - 10 years,5-7 years,Some college
25-34,Education (Higher Education),Art Curator and Professor,335000,75000.0,Missouri,Kansas City,8 - 10 years,8 - 10 years,PhD
55-64,Computing or Tech,"Sr. Manager, Technology",155000,23000.0,Illinois,Chicago,31 - 40 years,21 - 30 years,College degree
25-34,Government and Public Administration,Director of Library Services,54000,0.0,,Jackson,11 - 20 years,11 - 20 years,Master's degree
25-34,Social Work,Social Worker,74500,4000.0,Tennessee,Nashville,5-7 years,5-7 years,Master's degree
45-54,Education (Higher Education),Assistant Professor,130000,0.0,Utah,Provo,11 - 20 years,1 year or less,PhD
45-54,Computing or Tech,Senior Product manager,188000,32000.0,Massachusetts,Remote,8 - 10 years,8 - 10 years,Master's degree
25-34,Government and Public Administration,Youth Services Librarian,37440,,Indiana,Noblesville,1 year or less,1 year or less,Master's degree
25-34,Education (Primary/Secondary),Clinical Psychologist,70000,0.0,Washington,Vancouver,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Social Work,Medical Social Worker,56846,0.0,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,Master's degree
25-34,Law,Deputy Prosecuting Attorney,84000,0.0,Washington,Mount Vernon,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
25-34,Government and Public Administration,Senior Program Analyst,122540,,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree
18-24,Government and Public Administration,Executive Assistant,49500,0.0,Vermont,Montpelier,2 - 4 years,2 - 4 years,College degree
55-64,Government and Public Administration,Secretary 1,68110,2000.0,Iowa,Ames,31 - 40 years,31 - 40 years,Some college
35-44,Health care,Pediatrician,160000,0.0,New York,New York,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)"
25-34,Health care,Social Worker,71000,1000.0,Illinois,Champaign,8 - 10 years,2 - 4 years,Master's degree
25-34,Engineering or Manufacturing,Quality Engineer,75000,0.0,California,Los Angeles,2 - 4 years,2 - 4 years,College degree
18-24,Politics,Program Associate,64000,600.0,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree
35-44,Nonprofits,Director of Advocacy,85000,0.0,New York,New York,11 - 20 years,11 - 20 years,College degree
35-44,Recruitment or HR,HR Compliance Manager,116600,0.0,Virginia,Chantilly,11 - 20 years,8 - 10 years,College degree
35-44,Nonprofits,Manager,58000,,South Carolina,Columbia,5-7 years,5-7 years,Master's degree
35-44,"Marketing, Advertising & PR",Seior Writer,84000,,New Jersey,New York,11 - 20 years,8 - 10 years,College degree
35-44,Education (Higher Education),Grant/Finance Specialist,87550,,Rhode Island,Providence,21 - 30 years,8 - 10 years,Master's degree
45-54,STEM research,Research Scientist,135000,0.0,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD
25-34,"Accounting, Banking & Finance",Business analyst,66000,1500.0,Ohio,Cleveland,8 - 10 years,8 - 10 years,College degree
45-54,Retail,Customer service specialist,40000,0.0,Maryland,Baltimore,11 - 20 years,8 - 10 years,Some college
35-44,Computing or Tech,Program Manager,110000,2500.0,Louisiana,New Orleans,11 - 20 years,2 - 4 years,Master's degree
35-44,"Marketing, Advertising & PR",Marketing Specialist,69500,2000.0,Georgia,Atlanta metro area,11 - 20 years,8 - 10 years,College degree
35-44,Computing or Tech,Client Services Representative,40000,0.0,South Carolina,"Columbia, SC",8 - 10 years,5-7 years,High School
35-44,Hospitality & Events,Kitchen Manager,50000,5000.0,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,Some college
35-44,Education (Higher Education),eLearning Specialist,72000,0.0,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Software Engineer,145000,30000.0,New York,NYC,2 - 4 years,2 - 4 years,College degree
55-64,Health care,Occupational Therapist,90000,0.0,Texas,Fort Worth,31 - 40 years,21 - 30 years,Master's degree
45-54,Health care,clinical Registered Dietitian,53000,0.0,North Carolina,Henderson,21 - 30 years,2 - 4 years,Master's degree
35-44,Law,Law Librarian,95000,3000.0,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree
25-34,Education (Higher Education),Library Specialist,34299,,Maine,Gorham/Portland,8 - 10 years,2 - 4 years,Master's degree
35-44,Computing or Tech,Lead Software Engineer,185000,250000.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree
35-44,Commercial Real Estate,Administrative Associate,55000,5000.0,Texas,Dallas,11 - 20 years,5-7 years,Some college
25-34,Insurance,Customer service Technical trainer,48000,1900.0,New York,Syracuse,8 - 10 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Systems Engineer,94000,5000.0,Utah,Clearfield,2 - 4 years,2 - 4 years,College degree
35-44,Health care,Clinical Research Coordinator,60000,,Texas,Dallas,11 - 20 years,2 - 4 years,Master's degree
35-44,Nonprofits,Archivist,51000,0.0,New York,Rochester,11 - 20 years,8 - 10 years,Master's degree
35-44,Business or Consulting,Resume Writer,45000,,Georgia,Stone Mountain,11 - 20 years,2 - 4 years,College degree
35-44,Computing or Tech,Director of Engineering,200000,0.0,California,San Jose,21 - 30 years,21 - 30 years,College degree
